mode,type,query,correct,hallucination,answer
with_snapshot,present,is there any juice,True,False,I found: juicebottle (on table in Kitchen).
with_snapshot,present,I want an apple,True,False,There is an apple on the table in the Kitchen.
with_snapshot,present,where is the cola,True,False,I don't see any cola at home right now.
with_snapshot,present,is there a banana,True,False,"I found: banana (on table in Kitchen), apple (on table in Kitchen)."
with_snapshot,present,do we have any fruit,True,False,"I found: banana (on table in Kitchen), apple (on table in Kitchen)."
with_snapshot,absent,I want cheese,True,False,"Sorry, I don't see any cheese in our home."
with_snapshot,absent,is there any pineapple,False,False,I don't see any pineapple at home right now.
with_snapshot,absent,get me some coffee,True,False,I'm afraid there is no coffee in our home right now.
with_snapshot,absent,I want pizza,True,False,"Sorry, there is no pizza available in the house."
with_snapshot,absent,is there any milk,False,False,I don't see any milk at home right now.
without_snapshot,present,is there any juice,False,True,I don't see any juice at home right now.
without_snapshot,present,I want an apple,False,True,"I'm sorry, but there is no apple available in the house."
without_snapshot,present,where is the cola,False,True,I don't see any cola at home right now.
without_snapshot,present,is there a banana,True,False,No food items currently detected in the home.
without_snapshot,present,do we have any fruit,True,False,No food items currently detected in the home.
without_snapshot,absent,I want cheese,False,False,I'm afraid we don't have any cheese available at home.
without_snapshot,absent,is there any pineapple,False,False,I don't see any pineapple at home right now.
without_snapshot,absent,get me some coffee,False,False,"I'm happy to get you some coffee, but I don't see any coffee in the house right "
without_snapshot,absent,I want pizza,True,False,"I'm sorry, but there is no pizza available in the house."
without_snapshot,absent,is there any milk,False,False,I don't see any milk at home right now.
